"","No_case","No_contr","OR","pval","eta_est","eta_pval","cate_index"
"FMRP_MPC>=2_0.0001<0.001",431,418,1.0311004784689,0.340241069272601,0.000122628704130866,1,4
"FMRP_MPC>=2_AF<0.0001",1802,1482,1.21592442645074,1.26757986518546e-08,0.208196906439688,6.1530085964795e-08,4
"FMRP_MPC within (1,2)_0.001<AF<0.01",11700,11297,1.03567318757192,0.00401340146622057,1.60706264259834e-05,1,5
"FMRP_MPC within (1,2)_0.0001<0.001",5707,5605,1.01819803746655,0.171151848031503,0.000944151081577221,1,5
"FMRP_MPC within (1,2)_AF<0.0001",10551,9555,1.10423861852433,1.12094572197384e-12,0.107000416750865,1.43871203002611e-12,5
"FMRP_MPC<1_0.001<AF<0.01",78370,78199,1.00218672873055,0.333731957460584,1.27180604624219e-05,1,6
"FMRP_MPC<1_0.0001<0.001",29562,29886,0.989158803453122,0.90872657395276,0.0016427237208227,0.805735343399931,6
"FMRP_MPC<1_AF<0.0001",33794,31917,1.05880878528684,1.25053987072099e-13,0.0607952864841706,3.07427310641012e-13,6
"AutismKB_PLI>=0.995_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,1
"AutismKB_PLI>=0.995_0.0001<0.001",13,8,1.625,0.191655158996582,3.07994882102304e-05,1,1
"AutismKB_PLI>=0.995_AF<0.0001",18,16,1.125,0.432083120220341,0.0901802046946827,0.711278694610943,1
"AutismKB_pLI within (0.5,0.995)_0.001<AF<0.01",NA,NA,NA,NA,NA,NA,2
"AutismKB_pLI within (0.5,0.995)_0.0001<0.001",NA,NA,NA,NA,NA,NA,2
