"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF","g7_count","g7_BF","g8_count","g8_BF","g9_count","g9_BF","g10_count","g10_BF","g11_count","g11_BF","g12_count","g12_BF","g13_count","g13_BF","g14_count","g4_BF.1","g15_count","g15_BF"
"76","INSC",11.3072,"NA","849 vs 819","-",NA,"-",NA,"-",NA,"-",NA,"12 vs 3",1.26,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"110 vs 79",9.02,"238 vs 262",1,"489 vs 475",1
"77","GBP3",11.1325,"NA","397 vs 338","-",NA,"-",NA,"-",NA,"-",NA,"22 vs 17",2.47,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"101 vs 101",4.53,"274 vs 220",1,"-",NA
"78","DCAF15",11.039,"NA","67 vs 44","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 4",2.45,"-",NA,"-",NA,"7 vs 5",1.1,"-",NA,"-",NA,"42 vs 27",4.11,"9 vs 8",1,"-",NA
"79","HDAC5",11.0111,"NA","179 vs 158","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"1 vs 0",1.22,"35 vs 33",1,"-",NA,"42 vs 18",9.99,"-",NA,"-",NA,"43 vs 37",0.91,"58 vs 70",1,"-",NA
"80","FBLN2",10.9583,"NA","425 vs 397","-",NA,"-",NA,"2 vs 0",2.1,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"217 vs 187",5.18,"206 vs 210",1.01,"-",NA
"81","UNC45A",10.7492,"NA","823 vs 825","-",NA,"-",NA,"-",NA,"-",NA,"17 vs 26",0.83,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"190 vs 123",13.05,"45 vs 50",1,"571 vs 626",0.99
"82","MRPL3",10.7234,"NA","395 vs 403","-",NA,"-",NA,"-",NA,"-",NA,"3 vs 1",1.05,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"68 vs 38",10.29,"115 vs 120",1,"209 vs 244",1
"83","HOXB4",10.5369,"NA","44 vs 33","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"7 vs 1",5.64,"-",NA,"-",NA,"7 vs 2",1.73,"-",NA,"-",NA,"13 vs 11",1.08,"17 vs 19",1,"-",NA
"84","SEPHS1",10.5334,"NA","30 vs 12","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"6 vs 1",2.68,"-",NA,"-",NA,"21 vs 6",4.84,"-",NA,"-",NA,"3 vs 5",0.81,"-",NA,"-",NA
"85","DRC1",10.4328,"NA","1304 vs 1281","-",NA,"-",NA,"-",NA,"-",NA,"16 vs 7",1.13,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"152 vs 130",9.39,"160 vs 156",1,"976 vs 988",0.99
"86","MYORG",10.3955,"NA","2852 vs 2819","-",NA,"-",NA,"-",NA,"-",NA,"2446 vs 2461",1.12,"-",NA,"-",NA,"-",NA,"-",NA,"42 vs 21",5.93,"-",NA,"-",NA,"41 vs 29",1.57,"11 vs 9",1,"312 vs 299",1
"87","POLR3A",10.2613,"NA","499 vs 448","-",NA,"-",NA,"-",NA,"-",NA,"8 vs 8",1.02,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 11",1.02,"-",NA,"-",NA,"114 vs 72",9.87,"364 vs 357",1,"-",NA
"88","NEK4",10.2554,"NA","564 vs 485","-",NA,"-",NA,"-",NA,"-",NA,"7 vs 9",0.92,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"100 vs 64",11.22,"31 vs 25",1,"426 vs 387",1
"89","SLCO1A2",10.2468,"NA","788 vs 820","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 5",0.97,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"98 vs 72",10.64,"44 vs 43",1,"644 vs 700",1
"90","PPARG",10.2314,"NA","38 vs 18","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 4",4.54,"-",NA,"-",NA,"7 vs 1",1.78,"-",NA,"-",NA,"18 vs 13",1.27,"-",NA,"-",NA
"91","CCDC191",10.1921,"NA","1218 vs 1152","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 16",0.81,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 3",1.48,"-",NA,"-",NA,"184 vs 133",8.58,"458 vs 443",0.99,"558 vs 557",1
"92","DDB1",10.1514,"NA","39 vs 17","-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"9 vs 3",3.66,"-",NA,"-",NA,"17 vs 7",2.02,"-",NA,"-",NA,"13 vs 7",1.38,"-",NA,"-",NA
"93","MYH10",10.0946,"3","255 vs 215","3 vs 0",2.62,"-",NA,"-",NA,"-",NA,"-",NA,"-",NA,"13 vs 7",2.14,"-",NA,"-",NA,"49 vs 39",1.29,"127 vs 113",1,"-",NA,"63 vs 56",1.39,"-",NA,"-",NA
