"","Gene","BF","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"3722","HNRNPM",1.096,"NA","55 vs 54","-",NA,"-",NA,"-",NA,"1 vs 0",1.21,"22 vs 22",0.85,"32 vs 32",1.07
"3723","R3HDML",1.0959,"NA","204 vs 182","-",NA,"-",NA,"1 vs 0",1.02,"-",NA,"-",NA,"203 vs 182",1.07
"3724","VPS9D1",1.0959,"NA","485 vs 462","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"482 vs 461",1.04
"3725","SERF2",1.0958,"NA","38 vs 29","-",NA,"-",NA,"-",NA,"-",NA,"2 vs 1",1.07,"36 vs 28",1.02
"3726","SLC35D2",1.0957,"NA","74 vs 60","-",NA,"-",NA,"1 vs 1",1,"-",NA,"-",NA,"73 vs 59",1.1
"3727","MAGED1",1.0956,"5","24 vs 27","-",NA,"-",NA,"-",NA,"2 vs 1",1.08,"3 vs 2",1.05,"19 vs 24",0.97
"3728","MVD",1.0956,"NA","190 vs 183","-",NA,"-",NA,"3 vs 0",1.06,"-",NA,"-",NA,"187 vs 183",1.03
"3729","TES",1.0956,"NA","124 vs 94","-",NA,"-",NA,"3 vs 1",1.06,"-",NA,"-",NA,"121 vs 93",1.04
"3730","DSG2",1.0956,"NA","474 vs 423","-",NA,"-",NA,"4 vs 3",1.02,"-",NA,"-",NA,"470 vs 420",1.07
"3731","TMEM87B",1.0956,"NA","202 vs 209","-",NA,"-",NA,"6 vs 4",1.05,"-",NA,"-",NA,"196 vs 205",1.04
