"","Gene","BF","BF_filtered","SFARI_score","total_count","g1_count","g1_BF","g2_count","g2_BF","g3_count","g3_BF","g4_count","g4_BF","g5_count","g5_BF","g6_count","g6_BF"
"15875","EIF4A1",0.6171,0.6042,"NA","5 vs 10","-",NA,"-",NA,"-",NA,"0 vs 2",0.62,"2 vs 2",1.02,"3 vs 6",0.98
"15956","ALAS2",0.6041,0.6041,"NA","48 vs 52","-",NA,"-",NA,"-",NA,"-",NA,"19 vs 22",0.62,"29 vs 30",0.97
"15828","GRK2",0.6245,0.6039,"NA","23 vs 24","-",NA,"-",NA,"-",NA,"2 vs 3",0.79,"7 vs 14",0.76,"14 vs 7",1.03
"15916","HDGFL3",0.6104,0.6039,"NA","8 vs 5","-",NA,"-",NA,"-",NA,"4 vs 5",0.55,"2 vs 0",1.11,"2 vs 0",1.01
"15938","DLX5",0.6072,0.6039,"NA","209 vs 177","-",NA,"-",NA,"-",NA,"-",NA,"9 vs 19",0.6,"200 vs 158",1.01
"15930","CRTAC1",0.608,0.6037,"NA","615 vs 614","-",NA,"-",NA,"1 vs 2",0.99,"-",NA,"88 vs 98",0.61,"526 vs 514",1.01
"15446","ETV2",0.6847,0.6036,"NA","133 vs 136","-",NA,"-",NA,"2 vs 0",1.06,"0 vs 2",0.62,"25 vs 17",1.07,"106 vs 117",0.98
"15959","AKIRIN1",0.6034,0.6034,"NA","15 vs 11","-",NA,"0 vs 1",0.41,"-",NA,"-",NA,"14 vs 7",1.5,"1 vs 3",0.99
"16027","LENG9",0.5918,0.6034,"NA","684 vs 708","-",NA,"-",NA,"4 vs 3",0.98,"-",NA,"227 vs 251",0.65,"453 vs 454",0.93
"15914","CORO2B",0.6106,0.6033,"NA","72 vs 76","-",NA,"-",NA,"-",NA,"0 vs 1",0.79,"61 vs 66",0.77,"11 vs 9",1.01
"15960","C1QTNF1",0.6032,0.6032,"NA","252 vs 290","-",NA,"-",NA,"1 vs 2",0.99,"-",NA,"13 vs 24",0.62,"238 vs 264",0.98
"16162","WDR11",0.564,0.6031,"NA","213 vs 214","-",NA,"-",NA,"1 vs 1",1,"-",NA,"9 vs 17",0.6,"203 vs 196",0.94
"15962","THEMIS2",0.603,0.603,"NA","186 vs 236","-",NA,"-",NA,"4 vs 0",1.1,"-",NA,"18 vs 28",0.59,"164 vs 208",0.93
"15688","MAP4K3",0.6513,0.6027,"NA","223 vs 213","-",NA,"-",NA,"-",NA,"1 vs 2",0.75,"72 vs 78",0.8,"150 vs 133",1.08
