"","LoF_pvalue","LoF.Missense_pvalue","fisher_combine_pvalue","LoF_ACAT_pvalue","Missense_ACAT_pvalue"
"DDHD2",0.29052734375,0.29052734375,0.649635869367769,0.9,0.990825688073395
"LETM2",0.61279296875,0.61279296875,0.912894926227959,0.9,0.985714285714286
"FGFR1",0.5,0.574722990393638,0.693066920704511,0.5,0.991150442477876
"C8orf86",0.75,0.75,0.965761554338836,0.5,0.978260869565217
"TACC1",0.75,0.75,0.965761554338836,0.5,0.991869918699187
"PLEKHA2",0.5,0.5,0.846573590279973,0.75,0.985507246376812
"HTRA4",0.74609375,0.407264709472656,0.504604543784703,0.753843030942698,0.988636363636364
"TM2D2",0.5,0.36328125,0.596573590279972,0.666666666666667,0.96
"ADAM9",0.6875,0.6875,0.94510174649097,0.666666666666667,0.990740740740741
"ADAM32",0.85546875,0.85546875,0.989012310590666,0.8,0.992125984251969
"ADAM18",0.698538399371424,0.698538399371424,0.949149617459997,0.9375,0.993103448275862
"ADAM2",0.903736771119268,0.903736771119268,0.99521042546121,0.9,0.992700729927007
"IDO1",0.5,0.5,0.846573590279973,0.5,0.985714285714286
"IDO2",0.708433922869411,0.708433922869411,0.952630024659219,0.928571428571429,0.987341772151899
"ZMAT4",0.5,0.34375,0.596573590279973,0.666666666666667,0.970588235294118
"SFRP1",1,1,1,1,0.971428571428571
"GOLGA7",1,1,1,0.5,0.916666666666667
"GINS4",0.84912109375,0.84912109375,0.987997796615769,0.857142857142857,0.976190476190476
"NKX6-3",1,1,1,NA,0.956521739130435
"ANK1",0.6875,0.407264709472656,0.625797559404936,0.75,0.997159090909091
"KAT6A",0.29052734375,0.29052734375,0.649635869367769,0.29052734375,0.996575342465753
"AP3M2",0.0625,0.0625,0.235786795139986,0.5,0.984375
"PLAT",0.5,0.5,0.846573590279973,0.8,0.990654205607477
"IKBKB",0.5,0.819202695973217,0.796070143551016,0.5,0.99009900990099
"POLB",0.5,0.5,0.846573590279973,0.666666666666667,0.971428571428571
"DKK4",0.875,0.875,0.991839968546457,0.5,0.978723404255319
"VDAC3",0.875,0.875,0.991839968546457,0.5,0.96969696969697
"SLC20A2",0.25,0.5,0.55121188363159,0.5,0.988888888888889
"SMIM19",1,1,1,NA,0.941176470588235
"CHRNB3",0.825555560275461,0.825555560275461,0.983813498598875,0.9,0.9875
"CHRNA6",0.849002193405169,0.849002193405169,0.987978341726523,0.821901106774767,0.985915492957746
"THAP1",0.5,0.5,0.846573590279973,0.5,0.96551724137931
"RNF170",1,1,1,NA,0.961538461538462
"HOOK3",0.5,0.5,0.846573590279973,0.666666666666667,0.987012987012987
"FNTA",0.5,0.5,0.846573590279973,0.666666666666667,0.975
"POMK",0.868412017822266,0.868412017822266,0.990935402771002,0.857142857142857,0.987012987012987
"HGSNAT",0.696380615234375,0.696380615234375,0.948372143625449,0.9,0.990825688073395
"FBXO25",0.25,0.25,0.596573590279973,0.5,0.982456140350877
"SPIDR",0.171875,0.171875,0.474544779940224,0.875,0.99468085106383
"PRKDC",0.25,0.25,0.596573590279973,0.5,0.99835255354201
"MCM4",0.401809692382813,0.401809692382813,0.768170409534163,0.909090909090909,0.994186046511628
"UBE2V2",1,1,1,1,0.916666666666667
"EFCAB1",0.36328125,0.36328125,0.73113183388026,0.8,0.961538461538462
"SNAI2",1,1,1,NA,0.958333333333333
"TDRP",0.25,0.25,0.596573590279973,0.5,0.96969696969697
"SNTG1",0.5,0.5,0.846573590279973,0.8,0.98936170212766
"PXDNL",0.691140341485152,0.691140341485152,0.946456137684466,0.95,0.996710526315789
"PCMTD1",0.75,0.5,0.742810969879397,0.5,0.947368421052632
"ST18",0.171875,0.171875,0.474544779940224,0.888888888888889,0.994818652849741
"RB1CC1",0.25,0.25,0.596573590279973,0.25,0.99492385786802
"NPBWR1",0.5,0.5,0.846573590279973,0.5,0.984375
